Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
2015-12-29,225.53590393066406,226.26887842649117,223.70344545054323,224.42532932387857,14913870
2015-12-30,223.1148223876953,225.66914969189096,222.55953513261227,225.4470407206714,8151610
2015-12-31,225.3582000732422,226.49100039687863,221.9154217856925,222.87052009130844,18483713
2016-01-01,225.5247802734375,226.3132819532408,223.93665663816614,224.29203099434375,5416562
2016-01-04,221.0713653564453,225.1805000297247,219.16116885424088,223.22588173230943,30170947
2016-01-05,223.2592010498047,224.33645925207267,221.4489683897689,222.1819428475367,14946239
2016-01-06,229.26742553710938,230.64454568015083,222.20415246675108,223.80338158752446,26759864
2016-01-07,225.05833435058594,228.3345306260016,223.90333805050435,226.7908288007083,19739943
2016-01-08,227.83477783203125,229.42290150170416,225.82463227822146,226.55762155778405,21313199
2016-01-11,233.57644653320312,235.61990833334505,224.55857043281637,225.65803947117016,29016443
2016-01-12,232.21047973632812,236.64167286447437,231.24427594057278,234.33167997621376,23373377
2016-01-13,239.1848602294922,242.0501548501821,232.59913664284787,233.909624022017,71802356
2016-01-14,235.8087158203125,240.10665803676952,233.8985341066997,236.2973704045006,27823189
2016-01-15,238.39634704589844,241.99461613047055,236.6860635046685,237.6078453794548,28767318
2016-01-18,225.85794067382812,240.7618825181927,223.91444270869763,238.77394793210755,27254669
2016-01-19,231.79954528808594,233.17665062351767,225.24713760112027,228.55666520525023,21489315
2016-01-20,223.1259307861328,229.86713090321356,219.8941562499571,229.86713090321356,45114225
2016-01-21,218.6058807373047,227.83477554310466,216.94001894226994,226.01343746543628,31768619
2016-01-22,223.03709411621094,224.55858511748687,220.79373409949767,220.79373409949767,23682648
2016-01-25,222.99267578125,226.27997771397833,222.1153156384268,224.33646479151162,13099564
2016-01-27,221.97093200683594,224.33645186352274,221.43785564773412,223.91444481730252,17251028
2016-01-28,225.86904907226562,226.95742751863833,221.47117280041078,222.33742744724518,23074633
2016-01-29,229.9781951904297,230.9999261691553,226.11339508618303,226.3243986206228,19177163
2016-02-01,228.8454132080078,231.3997406937555,227.79036586565783,230.98882424075876,9918809
2016-02-02,222.37075805664062,229.40070023876143,220.0052232125685,228.84541294484922,14771279
2016-02-03,217.98394775390625,220.78260963628105,216.56242074356052,219.44991138366922,15691478
2016-02-04,216.1293182373047,222.33744235958844,214.49677269880084,219.44993656116264,18203784
2016-02-05,215.65176391601562,218.11723292518678,213.54166927816436,217.47310205013463,20998404
2016-02-08,213.46392822265625,218.7391647453269,212.77536073354673,215.69618277019939,12078110
2016-02-09,212.6754150390625,215.1853206769359,211.00955318890985,211.65368406530996,19603494
2016-02-10,213.81930541992188,216.11820751864883,210.70969070991205,211.38715275903834,16883350
2016-02-11,205.35671997070312,214.55229889052094,203.3465743364677,213.8637313788933,17114833
2016-02-12,201.35862731933594,207.4334856487783,197.26059815560936,207.4334856487783,29319458
2016-02-15,210.2876739501953,211.30940494633984,203.9018626378096,203.9018626378096,19283523
2016-02-16,206.6894073486328,212.7864617950913,205.90089083521124,211.25386539017563,13024856
2016-02-17,211.5870361328125,212.66429427461972,203.5464543113697,207.70001060201764,15442221
2016-02-18,208.8106231689453,215.163118243929,207.89994665063352,213.88594706297263,14433087
2016-02-19,209.7545928955078,211.620367656439,208.19978553707682,208.78840399470585,10235503
2016-02-22,213.74156188964844,215.07426022908177,209.69905990310525,209.69905990310525,12770834
